음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
593,58,내장전골,5.41,2.88,2.89,0.72,51.72
1162,32,된장찌개_두부_호박,3.1,1.04,2.73,0.87,9.05
1167,58,된장찌개_소고기,4.2,2.6,4.32,1.24,5.75
1165,53,된장찌개_미더덕,5.3,1.59,4.36,1.1,23.16
1170,55,된장찌개_콩나물,5.5,1.9,5.01,0.87,3.45
1817,36,매운탕_동태_해물,5.75,0.69,1.76,0.48,40.29
1819,45,매운탕_메기_해물,4.12,1.29,4.4,0.93,13.82
2432,59,버섯전골_소고기,4.11,3.02,4.69,1.01,10.29
2609,69,불낙전골,7,2.67,4.58,1.15,13.06
2611,49,불낙전골_해물,4.3,2.12,3.48,0.7,14.7
3105,46,소고기 샤브샤브,2.95,2.04,4.08,0.4,8.24
3230,76,순대전골,5.61,3.18,6.28,0.68,17.49
4001,21,아귀지리,3.97,0.13,0.89,0.2,14.01
4285,46,알탕_해물,6.82,1.03,2.29,0.55,96.76
5066,37,청국장찌개_해물,3.8,0.8,3.83,0.72,3.05
5064,42,청국장찌개_모듬,3.8,0.96,4.57,0.86,1
6,31,가자미 매운탕,4.5,0.82,1.4,0.38,18
43,48,감자 소고기찌개,3.2,2.27,3.81,0.65,6.23
290,63,광어 매운탕,8.9,1.74,2.94,0.77,12.28
305,88,국수전골,3.4,1.83,14.56,1.09,3.89
497,42,김치순두부,4.7,1.8,1.54,0.86,5.3
499,37,김치순두부_바지락,4.2,1.39,1.58,0.71,32.06
500,35,김치순두부_해물,4,1.36,1.65,0.72,7.24
556,31,꽃게 매운탕,5.7,0.27,1.3,0.59,10.43
869,31,대구 매운탕,5.1,0.35,2.09,0.55,15.19
870,39,대구 매운탕_내장,6.6,0.48,2.32,0.74,29.01
871,41,대구 매운탕_내장_알,6.7,0.53,2.72,1.1,39.92
873,16,대구지리,2.7,0.21,0.86,0.12,7.82
875,45,대구탕,4.7,0.89,5.03,1.34,8.89
1057,63,도루묵찌개,6.8,2.31,4.04,1.3,29.17
1058,47,도미 매운탕,5.9,1.13,3.37,1.08,18.38
1181,39,두부 청국장찌개,3.5,0.95,4.34,0.83,0.02
1809,44,망둥어찌개,5.9,0.85,3.4,1.08,21.55
1867,59,메기 매운탕,4,1.46,7.39,0.69,10.42
1894,49,명태 매운탕,7.1,1.03,3.15,0.79,16.7
1916,20,모듬채소전골,1.8,0.6,2.1,0.61,1.3
2017,35,민어 매운탕,4.5,0.79,2.98,0.92,9.02
2417,27,버섯 샤브샤브,2,1.36,2.46,0.48,4.47
2467,23,번데기탕,2.2,1.48,0.42,0.18,16.7
2531,54,병어찌개,5.3,2.06,3.4,1.08,16.16
2533,42,보신탕,3,2.68,2.12,0.53,5.02
2535,31,복 매운탕,5.1,0.39,2.25,0.58,13.31
2544,30,복지리,5.6,0.31,1.49,0.35,14.78
2572,30,볼락 매운탕,3.5,0.52,2.87,1.27,10.22
2612,23,붕어 매운탕,3.1,0.7,1.08,0.25,7
2870,50,삼치찌개,6.2,1.28,3.35,1.08,16.97
3081,39,섞어찌개,1.7,2.09,3.73,0.9,3.28
3195,54,송어 매운탕,6.6,1.35,4.03,1.56,18.27
3239,51,숭어 매운탕,6.8,0.87,4.11,1.56,15.99
4000,25,아귀 매운탕,3.7,0.34,2.15,0.51,11.14
4305,17,애호박찌개,0.9,0.17,3.54,1.53,0
4306,38,애호박찌개_감자,3.7,0.95,3.87,0.83,12.73
4350,36,어묵 매운탕,2.5,0.89,4.64,0.89,5.57
4470,42,연두부찌개,4.8,1.48,2.59,0.95,26.58
4778,29,우럭 매운탕,3.5,0.6,2.83,0.69,2.76
4858,52,잉어 매운탕,5.7,1.5,4.08,1.56,19.04
4929,56,잡탕전골,4.9,1.73,4.99,0.73,23.68
4941,58,장어매운탕,5.7,2.11,4.08,1.56,44.16
4978,23,조기찌개,2.4,0.64,1.93,0.59,5.5
5047,42,참치찌개,5.4,0.97,3.05,1.28,7.39
6308,12,콩나물찌개,1.6,0.37,1.09,0.13,5.34
8624,34,해물 매운탕,5.7,0.52,1.89,0.5,42.29
8629,26,해물전골,3.2,0.64,1.95,0.52,19.66
8796,51,홍어찌개,7.7,0.97,3.15,0.79,25.46
4,29,가오리콩나물찜,2.68,0.84,3.5,0.69,4.13
516,88,김치찜_돼지고기,6.54,4.7,4.62,1.96,15.23
560,52,꽃게콩나물찜,5.86,1.34,5.1,0.91,12.62
590,74,낙지찜,5.47,4.31,3.81,0.89,35.53
652,41,단호박찜,0.93,0.16,10.04,3.63,0
666,119,달걀찜,11.1,7.01,1.66,0.62,255.67
725,85,닭찜_간장,12.1,1.36,5.07,1.48,30.15
872,45,대구볼찜,4.23,1.23,5.37,1.09,12.08
1094,89,돼지갈비찜_배추김치,5.86,4.89,5.36,2.21,20.35
2545,36,복찜,3.55,0.92,4.11,0.87,5.81
3091,111,소갈비찜,5.38,7.08,6.45,2.92,16.23
3092,137,소갈비찜_해물,11.41,6.11,8.65,0.7,92.67
3207,84,수육_소고기_꼬리,6,6.27,0,0,23.58
