음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
294,137,국밥_돼지머리,6.7,5.16,15.94,0.16,23.82
296,75,국밥_순대국밥,3.17,2.28,10.38,0.17,48.69
297,52,국밥_콩나물,1.45,0.24,10.93,0,0
339,166,기장밥,3.44,0.57,36.77,0,0
460,140,김밥,4.84,4.55,19.98,0,19.3
463,130,김밥_김치,4.3,4.03,19.17,0.29,47.38
464,177,김밥_날치알,6.1,4.26,28.66,1.43,55.15
465,202,김밥_돈가스,5.77,5.81,31.64,1.33,6.52
469,179,김밥_소고기,6.46,5.56,25.78,0.03,39.04
470,174,김밥_참치,7,7.22,20.26,0.71,33.45
473,158,김밥_채소,4.6,3.65,26.65,0.14,29.93
474,177,김밥_치즈,6.24,7.03,22.1,0.21,35.07
475,169,김밥_풋고추,4.88,4.41,27.52,0.09,37.81
887,150,덮밥_낙지,5.88,3.34,24.12,2.16,32.45
888,125,덮밥_닭고기,11.4,2.18,14.82,1.07,92.29
889,202,덮밥_돼지고기,9.43,10.77,16.86,1.98,27.94
890,182,덮밥_불고기,6.6,5.31,26.96,0.07,15.83
892,135,덮밥_오징어,7.18,2.01,21.94,0.66,46.44
2532,161,보리밥,2.9,0.24,36.77,2.57,0
2548,183,볶음밥,5.56,2.76,33.97,0,29.28
2551,225,볶음밥_계란,6.62,11.28,24.23,0.17,62.63
2552,167,볶음밥_김치,5.32,9.18,15.74,13.89,70.41
2563,172,볶음밥_새우,6.31,6.14,22.85,0.71,70.72
2564,176,볶음밥_소고기,7.59,6.48,21.76,0.08,50.02
2566,180,볶음밥_참치,4.62,3.27,32.9,0.12,2.76
2568,182,볶음밥_채소,4.72,5.39,28.74,0.29,46.24
2569,184,볶음밥_표고버섯,3.36,4.81,31.79,0,0
2630,142,비빔밥,6.86,4.32,18.84,0.05,42.26
2632,147,비빔밥_돌솥,5.39,2.95,24.68,1.24,9.98
2640,147,비빔밥_육회,6.39,3.36,22.92,4.45,30.56
2857,199,삼각김밥_참치마요네즈,5.93,8.21,25.45,0,10.47
3203,161,수수밥,3.16,0.92,35.02,0.08,0
4282,128,알밥,4.73,5.11,15.75,2.3,45.98
4486,184,영양돌솥밥,3.43,2.87,36.06,0.63,0
4498,173,오므라이스,6.5,7.23,20.54,3.19,86.99
4896,122,자장밥,4.27,4.72,15.57,0.03,5.75
4911,146,잡곡밥,5.3,0.87,29.33,0.32,0
4927,150,잡채밥,4.02,3.42,25.79,0.05,5.91
4991,178,주먹밥_소고기,4.76,2.18,34.73,0.23,6.52
5016,72,짬뽕밥,3.2,1.4,11.65,1.34,15.78
5020,157,차조밥,2.84,0.65,34.86,0.04,0
5030,153,찰밥,4.39,0.18,33.56,0.49,0
5074,160,초밥_모듬,9.66,1.59,26.72,1.4,19.43
5078,194,초밥_유부초밥,5.78,5.77,29.82,1.99,3.12
5208,108,카레라이스,3.11,1.4,20.74,0.16,2.79
6303,123,콩나물밥,4.68,1.58,22.39,0.04,3.14
6311,165,콩밥_검정콩,4.53,1.12,34.3,0,0
6312,138,콩밥_완두콩,2.95,0.16,31.25,0,0
8577,112,하이라이스,4.02,1.13,21.34,0,2.83
8769,172,현미밥,3.1,0.47,38.9,0,0
8847,145,회덮밥_모듬,9.1,4.15,17.76,3.07,27.38
1,195,가래떡,3.92,0.51,43.73,0,0
116,240,경단_깨,6.28,6.72,38.58,0.61,0
570,228,꿀떡,3.74,1.73,49.48,0.29,0
1914,218,모듬찰떡,6.78,2.44,42.27,2.98,0
2204,230,백설기,3.71,1.45,50.4,0.11,0
3197,219,송편_깨,4.65,3.23,42.83,1.98,0
3900,224,시루떡,3.77,1.85,48.13,0.04,0
4320,220,약식,4.21,2.45,45.24,13.24,0
4852,242,인절미,5.64,2.16,50.07,6.35,0
4961,192,절편_쑥,7.72,2.42,34.87,0.25,0
5000,200,증편,3.17,1.2,44.15,3.19,0
5050,295,찹쌀떡_팥,5.06,2.53,62.93,25.95,0
938,515,도넛_링도넛,7.85,33.17,46.16,11.6,47.22
994,288,도넛_찹쌀,6,4.64,55.56,11.04,0.49
1661,438,마늘빵,12.06,17.58,57.94,7.36,26.68
1832,384,머핀,5.73,13.84,59.15,39.65,59.16
1895,314,모닝빵,9.5,7.43,52.17,7.97,40.54
1920,339,모카빵,8.55,8.05,57.96,12.53,52.07
2468,306,베이글,10,5.83,53.48,4.58,0
2905,240,샌드위치_닭가슴살,12.18,11.92,20.96,3.09,28.07
2922,193,샌드위치_모듬,9.5,13.44,8.44,0.6,82.1
2971,202,샌드위치_참치,10.54,11.65,13.78,1.38,18.86
2973,244,샌드위치_채소,4.08,14.75,23.82,14.26,6.42
3015,220,샌드위치_햄_달걀,12.44,11.92,15.64,1.9,92.91
3139,392,소보로빵,8.27,15.13,55.63,16.69,50.53
3904,264,식빵,9.34,2.6,50.91,1.56,5.57
5081,319,초코소라빵,3.29,10.93,51.76,9.29,19.61
5100,361,츄러스,6.6,11.29,58.17,22.73,0
5218,335,카스텔라,10.03,11.47,47.99,33.77,211.21
5919,312,케이크_롤케이크,7.36,11.83,44.01,24.64,142.59
6031,237,케이크_생크림케이크,3.45,12.54,27.62,14.49,70.1
6315,446,크로와상,7.52,26.98,43.31,6.1,24.5
6726,185,파이/만주_사과파이,2.54,3.91,34.83,7.11,14.39
6776,466,페이스트리,8.31,29.66,41.5,6.43,36.34
8164,274,피자_콤비네이션피자,10.68,14.36,25.54,4.85,21.16
8564,298,피자빵,8.85,15.05,31.76,8.11,45.6
8646,264,햄버거,12.85,13.98,21.67,3.13,45.2
8648,250,햄버거_불고기버거,13.88,11.52,22.68,0.13,45.93
8773,314,호떡_견과류,5.41,7.07,57.12,0.73,0
22,125,간자장,5.12,4.89,15.13,0.86,6.05
300,133,국수_막국수,5.8,1.61,23.9,4.88,5.53
301,102,국수_비빔국수,3.01,0.95,20.47,4.11,1.01
303,44,국수_잔치국수,1.93,0.49,8.05,0.04,0.6
304,119,국수_쟁반막국수,6.68,4.56,12.81,8.12,18.97
597,55,냉면_물냉면,1.96,0.64,10.31,4.52,15.35
598,100,냉면_비빔냉면,5.67,2.64,13.35,4.02,47.34
600,148,냉면_회냉면_홍어,5.81,4.02,22.21,2.84,8.88
1218,84,떡국,3.43,0.53,16.37,0.08,16.7
1224,111,떡만두국,3.53,3.91,15.47,0.01,11.33
1603,82,라면,1.72,2.28,13.65,0,0
1607,108,라면_달걀,2.61,3.18,17.33,0.18,28.5
1608,96,라면_떡,2.04,2.92,15.27,0,0
1797,159,만두_고기만두,12.38,4.45,17.4,0.16,19.91
1798,234,만두_군만두,7.03,11.5,25.57,2.77,9.49
1799,152,만두_김치만두,10.24,4.76,17.02,0.35,23.27
1800,195,만두_물만두,8.06,11.13,15.61,2.13,12.13
1804,87,만두국_사골,3.74,4,8.94,0.06,26.25
1869,63,메밀국수_온면,3.14,0.29,12.06,0,0
3208,58,수제비,2.31,0.52,11.08,0,12.85
3868,180,스파게티_미트볼,7.34,8.88,17.62,0.89,12.58
4774,158,우동_일식,1.78,3.22,30.48,0.02,0
4777,128,우동볶음,2.8,2.01,24.79,0.43,0
4796,118,월남쌈,5.94,4.97,12.25,5.5,31.58
4894,88,자장면,2.69,2.22,14.37,6.07,2.05
5008,58,짬뽕,2.79,1.54,8.26,1.57,10.52
5017,129,쫄면,3.21,2.52,23.26,3.51,0
5245,77,칼국수,3.3,0.49,14.9,0,17.14
5252,82,칼국수_바지락,3.43,0.53,15.97,0.18,0.33
6275,81,콩국수,3.9,3.35,8.92,0.24,0
722,44,닭죽,2.68,0.57,7.14,0,7.45
3881,105,스프_양송이버섯,2.41,7.04,8.06,2.52,17.01
4496,155,오리죽,7.5,4.99,19.95,0,36.07
4956,79,전복죽,1.82,3.73,9.62,0,8.62
5055,43,채소죽,1.69,0.69,7.62,0.17,0
6775,81,팥죽,3.17,0.19,16.66,0.02,0
8791,49,호박죽,1.93,1.71,6.58,3.56,0
8861,61,흑임자 죽,1.1,4.73,3.64,0.75,0
32,54,갈비탕,8.51,2.06,0.4,0.11,31.46
47,21,감자국,0.9,0.26,3.67,0.85,0
173,24,곰탕,3.43,1.12,0.11,0,9.04
174,25,곰탕_우거지,2.37,0.6,2.6,0.33,1.71
311,25,굴국_무,2.41,0.36,2.93,0.14,8.78
483,23,김치국,1.34,0.76,2.63,0.03,4.78
488,12,김치국_콩나물,0.82,0.47,1.15,0.49,0.6
594,71,내장탕,5.82,4.52,1.68,0.05,63.89
595,37,냉국_미역,0.19,0.67,7.51,4.49,0
596,6,냉국_미역_오이,0.37,0.15,0.85,0.69,0
657,13,달걀국,0.93,0.74,0.69,0,31.11
673,29,달걀탕_순두부,1.78,2.04,0.94,0,34.05
688,51,닭곰탕,7.51,1.42,2,0.3,36.02
897,40,도가니탕,8.35,0.33,0.82,0,18.34
1136,25,된장국_감자,1.09,0.6,3.7,0.77,0
1138,22,된장국_냉이,1.71,0.66,2.2,0.3,0
1142,24,된장국_미역,1.56,0.97,2.28,0.61,0
1143,20,된장국_배추,1.46,0.4,2.58,0,3.07
1144,9,된장국_시금치,1.02,0.17,0.98,0.11,0.64
1145,15,된장국_시래기,1.31,0.22,2.03,0,0.91
1146,15,된장국_쑥,1.22,0.47,1.52,0.73,0.21
1147,20,된장국_아욱,2.28,0.56,1.59,0.11,10.22
1148,9,된장국_얼갈이배추,0.5,0.41,0.85,0.06,0
1149,20,된장국_우거지,2.77,0.59,0.82,0.63,7.11
1152,31,된장국_콩나물,2.58,1.11,2.62,0.53,0
1153,28,된장국_해물,2.1,0.98,2.68,0.45,11.38
1154,31,된장국_호박,3.34,1.31,1.41,0.49,0
1155,7,된장국_호박잎,0.4,0.32,0.54,0.07,0
1928,15,무국_소고기,1.33,0.64,1.1,0,3.89
1934,25,무국_홍합,0.79,2.03,0.86,0.24,2.3
1955,22,묵국_메밀묵,1,0.4,3.57,0.28,0
1991,12,미역국,0.65,0.61,0.87,0.27,0
1993,11,미역국_대합,1.23,0.45,0.56,0.01,3.59
1997,16,미역국_새우,1.09,0.46,1.83,0,11.31
1998,13,미역국_소고기,1.86,0.26,0.82,0.52,4.24
2192,16,배추국_소고기,1.84,0.41,1.14,0,5.58
2594,28,북어국,3.89,0.98,0.84,0.12,21.61
2837,55,사골국,5.56,2.42,2.81,0,19.12
2863,101,삼계탕,10.68,4.8,3.84,0.45,48.19
2885,33,새우탕,5.17,0.44,2,0.06,32.73
3085,24,설렁탕,4.26,0.58,0.36,0,6.97
3222,85,순대국,2.35,1.75,14.95,0.26,9.67
4353,31,어묵국,1.49,1.03,3.83,0.07,2.45
4536,18,오징어국,2.22,0.73,0.73,0.24,31.88
4842,30,육개장,3.68,0.99,1.49,0.76,10.86
4843,20,육개장_닭고기,2.74,0.42,1.41,0.57,9.55
4942,67,장어탕,4.32,3.91,3.68,2.66,33.75
4950,23,재첩국,0.67,0.29,4.54,0,4.27
4970,16,조개국,1.67,0.89,0.25,0.18,4.01
6281,6,콩나물국,0.74,0.09,0.61,0.16,0.73
6665,16,토란국,1,0.12,2.61,0.27,1.12
8640,26,해장국_뼈다귀,3.19,0.97,1.06,0.63,9.45
8641,29,해장국_선지,3.86,0.96,1.23,0,29.05
1076,17,동태국,2.42,0.16,1.4,0,11.46
38,38,갈치찌개,5.27,1,1.95,0.98,15.04
78,71,감자탕,6.31,4.06,2.27,0,38.53
504,73,김치전골,3.12,4.23,5.68,0.79,7.43
507,89,김치찌개_꽁치,7.14,5.18,3.54,0.7,24.25
508,45,김치찌개_돼지고기,4.25,2.71,1.04,0.05,7.11
511,38,김치찌개_어묵,1.82,0.59,6.31,1.6,2.51
512,51,김치찌개_참치,3.59,2.82,2.9,0.15,6.54
513,31,김치찌개_햄,1.47,1.39,3.17,0.04,4.39
561,17,꽃게탕,1.86,0.41,1.44,0.95,2.61
588,51,낙지전골,6.5,1.14,3.72,0,51.44
1081,44,동태찌개,6.11,1.37,1.72,0.13,26.68
1119,48,돼지고기찌개,6.25,1.51,2.26,0.13,10.95
1156,46,된장찌개,3.38,1.63,4.44,0,0
1159,19,된장찌개_냉이,1.17,0.31,2.91,0.55,0
1160,35,된장찌개_달래,3.18,0.79,3.81,0.41,2.21
1161,41,된장찌개_두부,3.25,1.96,2.56,0.99,0
1166,23,된장찌개_바지락,2.88,0.72,1.18,0.56,3.81
1195,52,두부찌개_고추장,4.01,2.63,3.18,0.8,0.34
1200,58,두부찌개_소고기_고추장,4.56,1.42,6.73,0.17,6.43
1201,55,두부찌개_소고기_된장,5.71,1.98,3.5,0.72,5.98
1816,22,매운탕_대구,4.49,0.4,0.19,0,19.2
1825,35,매운탕_해물,4.85,0.64,2.51,0.45,47.65
2430,78,버섯전골,5.14,4.24,4.78,1.18,12.33
2573,123,부대찌개,5.86,6.49,10.27,0.18,11.05
3077,30,샤브샤브_버섯,3.88,0.9,1.57,0.53,7.55
3078,43,샤브샤브_소고기,5.38,1.62,1.8,1.49,11.9
3120,63,소고기전골,7.89,3.24,0.46,0.05,16.08
3235,35,순두부찌개_김치,2.98,1.59,2.17,0.32,4.6
4284,39,알탕,6.37,0.74,1.74,0,80.81
4493,112,오리백숙,10.59,7.5,0.5,0.25,51.85
4497,121,오리탕,9.5,6.56,6.08,3.58,38.47
4548,34,오징어찌개,3.3,0.22,4.77,0.45,26.34
5060,47,청국장찌개,5.03,2.11,1.92,0,2.61
5092,54,추어탕,3.24,3.18,3.07,0,15.84
6313,69,콩비지찌개,6.74,3.08,3.57,3.25,7.12
8793,41,호박찌개_고추장,2.08,0.99,5.96,0.56,0
124,139,고구마_찐고구마,1.67,0.24,32.47,16.32,0
3,102,가오리찜,21.99,1.39,0.46,0.06,91.28
31,85,갈비찜_소고기,7.25,3.17,6.95,0.75,33.38
45,70,감자_찐감자,2.16,0.16,15.01,0.86,0
534,97,깻잎찜,5.21,5.86,5.96,1.33,0
540,96,꼬막찜,12.03,2.28,6.97,1.03,38.3
569,104,꽈리고추찜,3.59,2.09,17.69,0.44,0
670,58,달걀찜_새우젓,4.98,4.04,0.47,0,189.26
671,105,달걀찜_우유,8.23,6.31,3.8,2.55,169.58
724,107,닭찜,12.37,6.09,0.6,0,66.22
1090,194,돼지갈비찜,13.29,12.32,7.44,0.13,50.07
2850,110,사태찜_소고기,12.1,5.17,3.67,0.13,94.95
3206,166,수육_소고기,28.43,4.94,2.04,0.11,88.3
3221,187,순대,2.75,3.64,35.73,1.39,26.24
4002,84,아귀찜,6.72,3.13,7.26,2.73,51.39
4308,181,애호박찜,9.5,6.48,21.18,1.81,12.54
4561,185,옥수수_찐옥수수,6.68,2.42,34.2,2.36,0
4982,233,족발,26.04,13.91,0.93,0,91.72
6255,94,코다리찜,14.49,1.35,6.08,2.5,60.96
6309,56,콩나물찜_해물,6.67,1.01,4.97,0,64.85
6838,51,풋고추찜,2.31,0.99,8.27,1.44,0
7,123,가자미구이,18.7,5.02,0.66,0,84.33
27,241,갈비구이_소고기,25.91,14.55,1.59,0.26,77.75
35,138,갈치구이_기름,21.54,5.48,0.6,0,87.96
138,340,고등어구이_석쇠,23.38,25.69,3.79,0,53.09
175,184,곱창구이_소고기,14.89,11.73,4.71,1.11,196.11
456,470,김구이_조미김,20.4,30.2,29,0.2,0
543,245,꼬치구이_닭고기_대파,17.85,14.7,10.35,1.66,76.62
689,257,닭구이,26.21,13.39,7.8,0,119.18
705,196,닭발구이,18.15,9.41,9.7,0.31,81.85
1213,202,떡갈비,21.38,11.82,2.46,0.4,68.04
1625,303,런천미트구이,17.56,24.38,3.27,1.71,35.69
2212,374,뱅어포구이,34.37,15.17,25.07,15.91,469.76
2419,52,버섯구이,5.16,1.38,4.78,0.11,0
2420,84,버섯구이_새송이버섯,4.29,2.21,11.66,4.54,0
2421,100,버섯구이표고버섯,4.34,1.06,18.14,1.4,0
2858,467,삼겹살구이,22.56,41.69,0.35,0,39.72
2859,403,삼겹살구이_고추장,14.21,32.83,12.63,5.73,35.52
2868,178,삼치구이,21.42,9.57,1.45,0.22,79.38
2878,145,새우구이,23.41,4.44,2.82,0.03,233.98
3164,170,소불고기,16.41,9.66,4.26,3.24,50.02
3847,194,스테이크_소등심,30.22,8.07,0.14,0,84.18
3848,183,스테이크_소안심,34.82,4.83,0.13,0,80.25
4491,293,오리고기구이,24.06,19.7,4.89,0,132.33
4495,145,오리불고기,6.75,9.05,9.05,6.29,31.13
4937,259,장어구이_고추장,19.82,17.21,6.18,0.44,131.89
4969,130,조개구이_키조개,17.43,2.07,10.44,3.6,25.29
4976,177,조기구이,19.33,10.86,0.44,0,91.79
5044,193,참치구이_머리,26.56,8.98,1.4,0,116.49
5206,208,치킨데리야끼,16.54,9.01,15.21,0.11,53.29
8578,174,함박스테이크,12.1,10.73,7.19,0.06,46.73
19,123,가지전,5.48,7.28,8.88,0.84,98.48
76,133,감자전,1.72,6.54,16.79,1.81,0
128,227,고구마전,2.92,7.98,35.99,14.26,0
501,134,김치전,5.05,4.2,19.01,4.21,54.91
658,193,달걀말이,17.21,13.21,1.45,0,339.85
663,208,달걀부침,15.73,13.78,5.15,0.03,327.72
664,277,달걀부침_햄,12.71,21.59,8.06,0,77.39
1189,140,두부부침,10.92,9.77,2.07,0.24,0
1808,165,맛살전,7.48,6.24,19.69,1.14,64.18
1874,161,메밀전,4.02,0.64,34.79,0.3,0
2429,181,버섯전_표고버섯,10.13,9.98,12.74,1.89,72.33
2589,167,부추전,4.63,4.17,27.86,8.28,26.17
2852,200,산적_돼지고기,29.06,8.56,1.55,0.06,56.15
3835,216,스크램블드에그,11.81,17.59,2.56,0.45,251.32
4303,122,애호박전,4.35,8.62,6.73,2.32,75.99
4745,139,완자전_돼지고기,14.78,5.95,6.51,2.56,68.26
4746,162,완자전_소고기,18.73,7.56,4.68,0.2,72.61
4747,173,완자전_참치,15,6.49,13.57,3.69,69.88
4748,222,완자전_해물,11.46,11.61,18.04,3.41,61.22
5054,145,채소전,3.57,4.5,22.59,2.06,19.62
6748,171,파전_해물,5.5,8.4,18.29,0.82,50.72
53,100,감자볶음,1.75,4.84,12.41,3.37,0
62,108,감자볶음_채소,2.04,5.22,13.1,0.12,0
96,304,건새우볶음,41.55,12.95,5.4,4.05,387.95
176,130,곱창볶음_돼지고기,7.23,3,18.52,3.27,76.08
490,106,김치볶음,1.38,7.94,7.27,4.45,4.66
495,122,김치볶음_참치,8.33,6.68,7.12,1.83,20.25
585,91,낙지볶음,5.77,3.77,8.6,7.91,44.76
708,186,닭발볶음,13.8,9.38,11.72,6.37,412.79
711,186,닭볶음,13.98,10.96,7.93,0.77,49.32
715,122,닭볶음_닭가슴살_피망,16.39,5.65,1.38,0.29,50.36
868,95,당근볶음,0.93,6.63,7.79,4.5,0
1109,161,돼지고기볶음_김치,11.81,10.05,5.93,2.9,35.12
1117,169,돼지고기볶음_채소,16.57,7.59,8.63,6.67,46.71
1107,195,돼지고기볶음,12.15,14.19,4.73,0.38,45.6
1227,144,떡볶이,3.51,2.96,25.96,4.4,2.34
1246,258,떡볶이_채소,3.12,1.88,57.06,1.97,0
1623,134,라볶이,2.83,4.71,20.14,0.94,2.52
1667,89,마늘쫑볶음,3.25,2.54,13.17,5.29,0
1671,117,마늘쫑볶음_멸치,7.54,2.78,15.42,5.7,2.52
1793,109,마파두부,7.29,6.48,5.36,2.45,6.79
1884,276,멸치볶음,39.44,7.08,13.62,11.6,368.7
1885,414,멸치볶음_견과류,30.4,24.32,18.36,14.02,157.2
1886,253,멸치볶음_꽈리고추,23.62,14.08,7.96,6.24,147.3
1887,277,멸치볶음_마늘쫑,32.4,10.84,12.42,4.26,305.04
1888,190,멸치볶음_풋고추,20.62,6,13.3,9.02,196.8
1962,88,문어볶음_고추장,10.97,1.02,8.62,5.44,78.89
2004,77,미역줄기볶음,0.96,5.95,4.85,0.55,0
2424,94,버섯볶음_느타리,2.8,6.2,6.78,4.24,0
2425,121,버섯볶음_새송이버섯,2.95,8.03,9.29,3.75,0
2618,51,브로콜리볶음,4.42,1.28,5.53,1.42,0
2861,151,삼겹살볶음_묵은지김치,5.76,10.49,8.4,3.62,13.36
2880,83,새우볶음,9.91,2.21,5.96,3.99,79.67
3114,197,소고기볶음_고추장,14.36,10.79,10.7,9.7,38.8
3115,144,소고기볶음_버섯,11.59,7.73,6.92,2.85,23.61
3116,126,소고기볶음_채소,12.8,5.4,6.44,4.53,38.44
3188,280,소시지볶음,11.94,19.38,14.41,5.83,28.41
4299,59,애호박 볶음,1.32,3.62,5.3,0.42,0
4347,56,양파볶음,0.99,1.54,9.51,9.15,0
4359,197,어묵볶음,8.41,7.29,24.33,6.31,16.64
4362,152,어묵볶음_채소,6.33,6.41,17.2,1.26,9.36
4541,128,오징어볶음,9.85,6.52,7.43,1.93,109.18
4806,86,유산슬,7.54,4.4,4.1,2.15,30.27
4901,388,잔멸치볶음_견과류,24.34,22.22,22.64,14.54,134.8
4903,293,잔멸치볶음_꽈리고추,24.78,17.48,9.24,5.84,193.94
4908,256,잔멸치볶음_풋고추,28.24,8.32,16.94,10.62,325.72
4909,228,잔멸치볶음_홍고추_풋고추,33.28,8,5.72,3.76,327.98
4917,146,잡채,4.71,3.3,24.26,0.73,22.66
4925,148,잡채_어묵,2.34,3.78,26.13,1.5,3.83
4926,67,잡채_콩나물,1.93,0.97,12.55,9.37,0
4994,120,죽순볶음_소고기,13.68,5.59,3.78,2.07,30.97
6749,90,팔보채,12.42,2.9,3.42,2.09,50.98
6837,70,풋고추볶음,1.93,3.23,8.25,4.34,0
8653,183,햄볶음_채소,10.47,11.37,9.6,3.33,32.49
77,114,감자조림,2.4,3.52,18.1,7.68,0
140,141,고등어조림,11.25,8.84,4.1,3.39,30.05
548,244,꽁치조림,15.52,17.87,5.14,4.05,32.81
718,111,닭볶음탕,11.91,3.22,8.52,0.42,42.44
720,197,닭조림,18.03,10.9,6.57,0.5,70.32
721,152,닭조림_고추장,9.12,6.94,13.25,2.04,48.95
1192,143,두부조림,9.64,9.66,4.4,3.64,0
1211,483,땅콩조림,18.75,36.4,19.95,9.85,0
1890,318,멸치조림,40.92,13.22,8.93,7.35,384.78
1950,48,무조림,2.26,2.38,4.29,3.87,0.64
2013,221,미트볼조림,18.15,10.73,12.95,10.52,29.48
2433,60,버섯조림,4.38,2,6.23,1.95,0
2530,112,병어조림,12.46,4.78,4.87,0.22,40.81
2869,125,삼치조림,15.88,5.63,2.61,2.03,51.41
4330,65,양미리조림,5.76,0.66,9.09,2.2,49.59
4365,159,어묵조림,5.83,4.73,23.16,2.43,7.84
4468,174,연근조림,2.68,5.1,29.42,2.78,0
4547,137,오징어조림,16.55,2.37,12.45,6.85,172.74
4553,240,오징어채조림,23.52,4.9,25.36,13.78,236.72
4790,188,우엉조림,4.8,3.33,34.8,28.43,0
4944,138,장조림_달걀,9.85,7.12,8.67,6.87,246.68
4946,203,장조림_메추리알,14.25,13.41,6.3,3.48,389.45
4947,69,장조림_소고기,10.41,0.86,4.84,1,20.21
4948,157,장조림_소고기_메추리알,11.69,5.39,15.56,3.32,181.88
4998,276,쥐포조림,13.03,8.86,36.12,23.37,50.56
6252,86,코다리조림,16.46,0.4,4.16,3.67,66.8
6314,281,콩조림,17.97,7.73,34.83,3.53,0
79,312,감자튀김,4.55,17.01,35.15,0.37,0
518,522,김튀김,11,28.9,54.36,0.14,0
645,462,다시마튀각,8.44,26.52,47.32,17.24,0
697,323,닭다리튀김_간장,18.86,19.6,17.88,3.71,58.97
745,257,닭튀김_날개,17.17,16.27,10.49,0,75.34
1214,249,떡강정,3.79,4.72,47.89,5.34,0
2008,443,미역튀각,13.24,33.9,21.14,11.36,0
6663,116,탕수육_새우,6.65,4.2,13.02,6.44,53.36
14,36,가지나물,1.42,1.5,4.18,2.34,0
130,83,고구마줄기나물,0.98,7,4.1,0,0
149,90,고사리나물무침,3.78,5.52,6.28,0.5,0
162,88,고춧잎나물무침,4.41,4.69,7.14,1.51,0
529,78,깻잎나물,2.68,5.18,5.04,2.04,0
602,111,냉이나물,5.02,3.07,15.7,10.45,0
1050,130,도라지나물무침,2.48,7.52,13.12,0.9,0
1831,58,머위대나물무침,3.96,2.56,4.76,0.34,25.22
1937,21,무나물무침,0.62,0.46,3.64,3.3,0
2185,76,방풍나물무침,4.39,1.73,10.74,2.91,0
2197,61,배추나물,2.01,2.19,8.45,6.24,0
2624,73,비름나물무침,3.46,4.05,5.7,0.86,0
3214,35,숙주나물,2.22,1.58,2.96,1.58,0
3890,69,시금치나물,3.74,4.46,3.36,0.1,0
3899,114,시래기나물무침,4.32,7.28,7.74,0.54,0
3998,97,씀바귀나물무침,3.87,1.73,16.57,1.28,0
4481,82,열무나물,3.91,5.3,4.76,0.6,0
4483,68,열무나물_된장,3.71,4.09,4.09,0.73,0
4837,96,유채나물,5.8,4.6,7.82,1.98,0
5033,60,참나물,2.51,3.69,4.14,0.67,0
5095,44,취나물_된장,3.08,1.66,4.12,0.84,0
5096,89,취나물_취나물,3.62,5.4,6.4,0,0
6293,69,콩나물무침,3.86,4.54,3.2,0.5,0
6295,93,콩나물무침_고춧가루,3.93,5.93,5.93,1.9,0
6667,68,토란대나물무침,5.14,3.38,4.22,0.39,24.41
8788,201,호박오가리나물무침,6.14,10.01,21.46,6.82,0
12,76,가죽나물무침,5.83,1.35,10.05,3.81,0
104,55,겉절이_배추,2.28,2.14,6.58,1.3,2.9
105,61,겉절이_상추,2.36,3.41,5.26,2.98,5.8
106,58,겉절이_열무,2.4,2.94,5.38,2.26,0
107,56,겉절이_치커리,1.49,3.65,4.4,3.71,0
169,109,골뱅이무침_소면,5.01,1.47,18.91,3.57,14.5
312,77,굴무침,6.68,2.31,7.3,2.74,28.38
459,259,김무침,21.17,10.73,19.33,5.73,0
584,77,낙지무침,12.41,1.24,3.96,0.14,136.42
604,90,냉채_닭고기,13.08,1.95,5,4.8,46.32
643,48,다시마무침,2.57,1.18,6.8,0,13.03
677,63,달래무침,2.92,3.02,6.07,3.83,0
1051,77,도라지생채,2.06,0.51,16.15,5.25,0
1173,67,두릅무침_초고추장,2.16,3.01,7.89,4.54,0
1666,106,마늘쫑무침,2.73,4.93,12.77,7.47,0
1938,121,무말랭이무침,4.2,1.55,22.5,4.1,1.95
1942,49,무생채,2.43,1.11,7.33,1.78,8.09
1943,50,무생채_굴,3.68,1.26,5.92,4.04,12.81
1957,74,묵무침_도토리묵,0.93,2.95,10.92,1.82,0
1969,49,물회_오징어,6.19,1.2,3.26,2.1,68.29
1977,46,미나리무침,1.31,2.13,5.41,2.24,0
2007,35,미역초무침,1.18,1.02,5.24,1.3,0
2016,81,민들레잎무침,2.69,2.33,12.32,8.16,0
2423,59,버섯무침_느타리버섯,2.74,3.77,3.44,0.09,0
2582,92,부추무침,3.5,5.92,6.25,3.06,14.73
2586,44,부추무침_양파,1.83,1.07,6.81,5.79,0
2603,188,북어채무침,28.4,2.91,12.05,5.59,110.75
3029,126,샐러드_감자,1.31,7.99,12.25,3.75,4.53
3036,162,샐러드_단호박,1.48,8.97,18.77,14.3,4.52
3037,135,샐러드_닭가슴살,7.17,9.49,5.36,3.25,10.85
3042,74,샐러드_새싹,2.77,4.81,4.96,2.26,12.28
3047,150,샐러드_양배추,2.69,11.71,8.47,7.95,5.14
3049,126,샐러드_양상추,4.91,10.3,3.42,1.58,0
3051,166,샐러드_옥수수,1.96,11.94,12.68,6.01,5.82
3052,151,샐러드_참치,10.82,8.65,7.52,6.91,21.91
3053,145,샐러드_채소,1.16,13.35,5.1,4.72,7.08
4343,133,양장피,7.3,6.63,10.95,0.44,65.89
4518,31,오이무침_부추,1.95,0.39,5.01,4.15,0
4521,69,오이생채,1.78,2.9,8.96,8.04,0
4532,52,오이지무침,0.96,3.51,4.21,2.78,0
